30-Jul-19 03:10:46 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-07-30-03-10-43', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
30-Jul-19 03:10:47 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
30-Jul-19 03:19:16 - TorcsAgent - INFO - Episode: 64, Total Reward: 1229.244, Avg. Reward Last 100 Episodes: 395.808, Avg. Actor Loss: -144.224 Avg. Critic Loss: 1.643 Avg. Q-Values: 93.482, Time: 9.350, Training Steps: 40, Eps: 0.986
30-Jul-19 03:19:23 - TorcsAgent - INFO - Episode: 65, Total Reward: 595.972, Avg. Reward Last 100 Episodes: 408.630, Avg. Actor Loss: -141.607 Avg. Critic Loss: 1.395 Avg. Q-Values: 92.282, Time: 7.140, Training Steps: 29, Eps: 0.986
30-Jul-19 03:19:31 - TorcsAgent - INFO - Episode: 66, Total Reward: 295.894, Avg. Reward Last 100 Episodes: 411.468, Avg. Actor Loss: -141.431 Avg. Critic Loss: 1.601 Avg. Q-Values: 95.085, Time: 8.000, Training Steps: 28, Eps: 0.986
30-Jul-19 03:19:37 - TorcsAgent - INFO - Episode: 67, Total Reward: 387.893, Avg. Reward Last 100 Episodes: 409.743, Avg. Actor Loss: -149.909 Avg. Critic Loss: 1.366 Avg. Q-Values: 96.832, Time: 6.742, Training Steps: 27, Eps: 0.986
30-Jul-19 03:19:44 - TorcsAgent - INFO - Episode: 68, Total Reward: 43.304, Avg. Reward Last 100 Episodes: 409.422, Avg. Actor Loss: -150.610 Avg. Critic Loss: 1.674 Avg. Q-Values: 101.937, Time: 6.933, Training Steps: 28, Eps: 0.986
30-Jul-19 03:19:54 - TorcsAgent - INFO - Episode: 69, Total Reward: 696.641, Avg. Reward Last 100 Episodes: 404.116, Avg. Actor Loss: -151.683 Avg. Critic Loss: 1.822 Avg. Q-Values: 100.846, Time: 9.616, Training Steps: 36, Eps: 0.985
30-Jul-19 03:20:02 - TorcsAgent - INFO - Episode: 70, Total Reward: 336.486, Avg. Reward Last 100 Episodes: 408.295, Avg. Actor Loss: -153.328 Avg. Critic Loss: 2.104 Avg. Q-Values: 105.083, Time: 7.733, Training Steps: 32, Eps: 0.985
30-Jul-19 03:20:09 - TorcsAgent - INFO - Episode: 71, Total Reward: 405.712, Avg. Reward Last 100 Episodes: 407.283, Avg. Actor Loss: -159.407 Avg. Critic Loss: 1.875 Avg. Q-Values: 107.684, Time: 6.742, Training Steps: 27, Eps: 0.985
30-Jul-19 03:20:17 - TorcsAgent - INFO - Episode: 72, Total Reward: 569.423, Avg. Reward Last 100 Episodes: 407.262, Avg. Actor Loss: -154.044 Avg. Critic Loss: 2.176 Avg. Q-Values: 107.882, Time: 8.609, Training Steps: 31, Eps: 0.985
30-Jul-19 03:20:24 - TorcsAgent - INFO - Episode: 73, Total Reward: 309.598, Avg. Reward Last 100 Episodes: 409.483, Avg. Actor Loss: -165.427 Avg. Critic Loss: 2.157 Avg. Q-Values: 111.604, Time: 6.531, Training Steps: 26, Eps: 0.984
