02-Aug-19 20:36:43 - CheetahAgent - INFO - Agent created with following parameters: {'target_score': None, 'soft_target_update_rate': 0.001, 'replay_memory_params': {'rewards_dtype': 'float32', 'state_dtype': 'float32', 'state_dim': (26,), 'action_dtype': 'float32', 'method': 'buffer', 'memory_size': 1000000, 'sample_size': 64, 'action_dim': (6,)}, 'output_directory': 'model/CheetahAgent/2019-08-02-20-36-41', 'critic_optimizer_params': {'learning_rate': 0.001}, 'state_dim': (26,), 'discount_factor': 0.99, 'ctx': 'gpu(0)', 'evaluation_samples': 100, 'critic_optimizer': 'adam', 'verbose': True, 'start_training': 1, 'actor_optimizer_params': {'learning_rate': 0.0001}, 'actor_optimizer': 'adam', 'training_episodes': 2500, 'agent_name': 'CheetahAgent', 'train_interval': 1, 'strategy_params': {'sigma': [0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'action_high': 1, 'min_epsilon': 0.05, 'action_dim': (6,), 'epsilon': 1, 'action_low': -1, 'epsilon_decay': 0.00067, 'epsilon_decay_method': 'linear', 'mu': [0, 0, 0, 0, 0, 0], 'epsilon_decay_start': 200, 'theta': [0.15, 0.15, 0.15, 0.15, 0.15, 0.15], 'method': 'ornstein_uhlenbeck'}, 'action_dim': (6,), 'snapshot_interval': 250, 'max_episode_step': 10000}
02-Aug-19 20:36:43 - CheetahAgent - INFO - --- Start DDPG training ---
02-Aug-19 20:36:53 - CheetahAgent - INFO - Episode: 53, Total Reward: 10.184, Avg. Reward Last 100 Episodes: 4.866, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.039 Avg. Q-Values: 0.495, Time: 0.170, Training Steps: 19, Eps: 1.000
02-Aug-19 20:36:53 - CheetahAgent - INFO - Episode: 54, Total Reward: 1.595, Avg. Reward Last 100 Episodes: 4.965, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.031 Avg. Q-Values: 0.426, Time: 0.163, Training Steps: 18, Eps: 1.000
02-Aug-19 20:36:53 - CheetahAgent - INFO - Episode: 55, Total Reward: 1.730, Avg. Reward Last 100 Episodes: 4.904, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.028 Avg. Q-Values: 0.477, Time: 0.163, Training Steps: 18, Eps: 1.000
02-Aug-19 20:36:54 - CheetahAgent - INFO - Episode: 56, Total Reward: 2.923, Avg. Reward Last 100 Episodes: 4.847, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.031 Avg. Q-Values: 0.472, Time: 0.153, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:54 - CheetahAgent - INFO - Episode: 57, Total Reward: -6.520, Avg. Reward Last 100 Episodes: 4.813, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.458, Time: 0.165, Training Steps: 19, Eps: 1.000
02-Aug-19 20:36:54 - CheetahAgent - INFO - Episode: 58, Total Reward: 6.440, Avg. Reward Last 100 Episodes: 4.618, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.029 Avg. Q-Values: 0.501, Time: 0.146, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:54 - CheetahAgent - INFO - Episode: 59, Total Reward: 2.219, Avg. Reward Last 100 Episodes: 4.649, Avg. Actor Loss: -0.015 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.532, Time: 0.262, Training Steps: 30, Eps: 1.000
02-Aug-19 20:36:54 - CheetahAgent - INFO - Episode: 60, Total Reward: 8.494, Avg. Reward Last 100 Episodes: 4.608, Avg. Actor Loss: -0.015 Avg. Critic Loss: 0.028 Avg. Q-Values: 0.512, Time: 0.202, Training Steps: 22, Eps: 1.000
02-Aug-19 20:36:54 - CheetahAgent - INFO - Episode: 61, Total Reward: 6.913, Avg. Reward Last 100 Episodes: 4.672, Avg. Actor Loss: -0.016 Avg. Critic Loss: 0.024 Avg. Q-Values: 0.514, Time: 0.124, Training Steps: 14, Eps: 1.000
02-Aug-19 20:36:55 - CheetahAgent - INFO - Episode: 62, Total Reward: 2.926, Avg. Reward Last 100 Episodes: 4.708, Avg. Actor Loss: -0.015 Avg. Critic Loss: 0.024 Avg. Q-Values: 0.491, Time: 0.128, Training Steps: 14, Eps: 1.000
