Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
38,static,"Car_2","(OSM id: 945247304)",15.91,0.05
38,static,"Car_4","(OSM id: 827800361)",15.91,0.09
38,static,"Car_2","(OSM id: 701424532)",16.71,0.08
38,static,"Car_3","(OSM id: 827800361)",16.61,0.1
38,static,"Car_4","(OSM id: 827800360)",16.81,0.1
38,static,"Car_3","(OSM id: 827800360)",17.51,0.12
38,static,"Car_4","(OSM id: 827800359)",17.91,0.08
38,static,"Car_2","(OSM id: 701424531)",17.81,0.12
38,vehicle,"Car_0","Car_4",23.41,0.01
38,vehicle,"Car_4","Car_0",23.41,0.01
38,static,"Car_0","(OSM id: 827800361)",26.71,0.06
38,static,"Car_4","(OSM id: 701424546)",27.51,0.1
38,static,"Car_0","(OSM id: 827800358)",28.61,0.07
39,static,"Car_0","Cecil and Ida Green Center(OSM id: 221317328)",17.61,0.03
39,static,"Car_0","Cecil H. Green Hall (GR)(OSM id: 258039242)",19.31,0.05
39,static,"Car_0","Erik Jonsson Academic Center (JO)(OSM id: 258039241)",21.31,0.19
39,static,"Car_0","English Language Center (ELS)(OSM id: 221317000)",25.71,0.1
39,static,"Car_0","North Office Building (NB)(OSM id: 280324659)",27.41,0.06
39,static,"Car_0","North Lab (NL)(OSM id: 280324664)",28.31,0.02
39,static,"Car_0","Parking Structure 3(OSM id: 404975608)",29.31,0.03
40,vehicle,"Car_2","Car_3",5.11,0.06
40,vehicle,"Car_3","Car_2",5.11,0.06
40,static,"Car_4","(OSM id: 645787516)",8.11,0.06
40,static,"Car_2","(OSM id: 645788004)",6.61,0.29
40,static,"Car_0","(OSM id: 645787781)",8.71,0.13
40,static,"Car_2","(OSM id: 645787737)",10.01,0.11
40,static,"Car_0","(OSM id: 645787940)",11.51,0.08
40,static,"Car_4","(OSM id: 645787737)",12.11,0.03
40,static,"Car_4","(OSM id: 645788008)",12.81,0.15
40,static,"Car_4","(OSM id: 645787755)",14.31,0.14
40,static,"Car_3","(OSM id: 645787779)",14.91,0.11
40,static,"Car_1","(OSM id: 645788008)",14.81,0.15
40,static,"Car_1","(OSM id: 645787755)",16.31,0.04
40,static,"Car_0","(OSM id: 645788008)",16.31,0.05
40,static,"Car_4","(OSM id: 645787672)",15.81,0.12
40,static,"Car_2","(OSM id: 645787815)",16.41,0.06
40,static,"Car_3","(OSM id: 645787940)",17.71,0.07
40,static,"Car_2","(OSM id: 645787774)",17.11,0.16
40,static,"Car_4","(OSM id: 645788024)",18.51,0.07
40,static,"Car_3","(OSM id: 645787482)",18.61,0.06
40,static,"Car_1","(OSM id: 645787867)",18.91,0.03
40,static,"Car_0","(OSM id: 645787538)",18.41,0.13
40,static,"Car_4","(OSM id: 645787815)",19.41,0.04
40,vehicle,"Car_0","Car_1",21.11,0.02
40,vehicle,"Car_1","Car_0",21.11,0.02
40,static,"Car_3","(OSM id: 645788008)",21.41,0.03
40,static,"Car_1","(OSM id: 645787849)",21.61,0.04
