09-Sep-22 16:10:12 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (25,), 'action_dim': (3,), 'ctx': 'gpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.00066666666, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 10000000, 'sample_size': 10000, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (25,), 'action_dim': (3,)}, 'training_episodes': 2000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'no', 'train_interval': 1, 'snapshot_interval': 50, 'agent_name': 'AutopilotAgent', 'max_episode_step': 1000, 'output_directory': 'model/AutopilotAgent/2022-09-09-16-10-06', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.0025, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
09-Sep-22 16:10:12 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
09-Sep-22 16:10:41 - AutopilotAgent - INFO - Episode: 59, Total Reward: 4852.422, Avg. Reward Last 100 Episodes: 2514.889, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.401, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:42 - AutopilotAgent - INFO - Episode: 60, Total Reward: -5599.278, Avg. Reward Last 100 Episodes: 2553.848, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.407, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:42 - AutopilotAgent - INFO - Episode: 61, Total Reward: -7149.999, Avg. Reward Last 100 Episodes: 2420.190, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.508, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:43 - AutopilotAgent - INFO - Episode: 62, Total Reward: -18830.004, Avg. Reward Last 100 Episodes: 2265.832, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.474, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:43 - AutopilotAgent - INFO - Episode: 63, Total Reward: 9188.682, Avg. Reward Last 100 Episodes: 1930.978, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.548, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:44 - AutopilotAgent - INFO - Episode: 64, Total Reward: -2099.202, Avg. Reward Last 100 Episodes: 2044.379, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.592, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:44 - AutopilotAgent - INFO - Episode: 65, Total Reward: -2121.288, Avg. Reward Last 100 Episodes: 1980.632, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.506, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:45 - AutopilotAgent - INFO - Episode: 66, Total Reward: 3974.996, Avg. Reward Last 100 Episodes: 1918.482, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.505, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:46 - AutopilotAgent - INFO - Episode: 67, Total Reward: 2168.572, Avg. Reward Last 100 Episodes: 1949.176, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.504, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:46 - AutopilotAgent - INFO - Episode: 68, Total Reward: 8130.918, Avg. Reward Last 100 Episodes: 1952.402, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.431, Training Steps: 0, Eps: 1.000
