30-Dec-22 19:55:06 - TurtlebotAgent - INFO - --- Start training ---
30-Dec-22 19:55:07 - TurtlebotAgent - INFO - Target network is updated after 0 steps
30-Dec-22 20:21:58 - TurtlebotAgent - INFO - Episode: 88, Total Reward: -74.487, Avg. Reward Last 100 Episodes: -43.659, Avg. Loss: 26.144, Time: 13.254, Training Steps: 28, Eps: 0.981
30-Dec-22 20:22:11 - TurtlebotAgent - INFO - Episode: 89, Total Reward: -152.173, Avg. Reward Last 100 Episodes: -44.005, Avg. Loss: 34.375, Time: 12.082, Training Steps: 28, Eps: 0.981
30-Dec-22 20:22:44 - TurtlebotAgent - INFO - Episode: 90, Total Reward: -130.201, Avg. Reward Last 100 Episodes: -45.207, Avg. Loss: 34.672, Time: 33.404, Training Steps: 78, Eps: 0.981
30-Dec-22 20:23:08 - TurtlebotAgent - INFO - Episode: 91, Total Reward: -12.794, Avg. Reward Last 100 Episodes: -46.141, Avg. Loss: 39.777, Time: 24.097, Training Steps: 57, Eps: 0.981
30-Dec-22 20:23:23 - TurtlebotAgent - INFO - Episode: 92, Total Reward: -151.638, Avg. Reward Last 100 Episodes: -45.778, Avg. Loss: 35.002, Time: 15.250, Training Steps: 37, Eps: 0.981
30-Dec-22 20:24:05 - TurtlebotAgent - INFO - Episode: 93, Total Reward: 162.087, Avg. Reward Last 100 Episodes: -46.917, Avg. Loss: 33.320, Time: 41.781, Training Steps: 101, Eps: 0.981
30-Dec-22 20:24:19 - TurtlebotAgent - INFO - Episode: 94, Total Reward: 25.403, Avg. Reward Last 100 Episodes: -44.693, Avg. Loss: 39.595, Time: 13.429, Training Steps: 34, Eps: 0.981
30-Dec-22 20:24:27 - TurtlebotAgent - INFO - Episode: 95, Total Reward: -183.034, Avg. Reward Last 100 Episodes: -43.955, Avg. Loss: 42.958, Time: 8.751, Training Steps: 22, Eps: 0.980
30-Dec-22 20:24:32 - TurtlebotAgent - INFO - Episode: 96, Total Reward: -201.011, Avg. Reward Last 100 Episodes: -45.404, Avg. Loss: 60.975, Time: 4.967, Training Steps: 10, Eps: 0.980
30-Dec-22 20:24:47 - TurtlebotAgent - INFO - Episode: 97, Total Reward: -215.331, Avg. Reward Last 100 Episodes: -47.008, Avg. Loss: 34.609, Time: 15.244, Training Steps: 37, Eps: 0.980
30-Dec-22 20:25:00 - TurtlebotAgent - INFO - Episode: 98, Total Reward: 25.362, Avg. Reward Last 100 Episodes: -48.726, Avg. Loss: 39.301, Time: 12.827, Training Steps: 31, Eps: 0.980
30-Dec-22 20:25:27 - TurtlebotAgent - INFO - Episode: 99, Total Reward: 14.727, Avg. Reward Last 100 Episodes: -47.977, Avg. Loss: 37.754, Time: 26.726, Training Steps: 64, Eps: 0.980
30-Dec-22 20:25:38 - TurtlebotAgent - INFO - Episode: 100, Total Reward: -94.186, Avg. Reward Last 100 Episodes: -47.350, Avg. Loss: 27.843, Time: 11.088, Training Steps: 26, Eps: 0.980
30-Dec-22 20:25:58 - TurtlebotAgent - INFO - Episode: 101, Total Reward: -4.503, Avg. Reward Last 100 Episodes: -46.719, Avg. Loss: 31.421, Time: 19.940, Training Steps: 46, Eps: 0.980
30-Dec-22 20:26:04 - TurtlebotAgent - INFO - Episode: 102, Total Reward: -166.070, Avg. Reward Last 100 Episodes: -45.312, Avg. Loss: 37.652, Time: 6.173, Training Steps: 14, Eps: 0.980
30-Dec-22 20:26:23 - TurtlebotAgent - INFO - Episode: 103, Total Reward: -134.165, Avg. Reward Last 100 Episodes: -47.708, Avg. Loss: 38.116, Time: 18.312, Training Steps: 43, Eps: 0.980
30-Dec-22 20:26:32 - TurtlebotAgent - INFO - Episode: 104, Total Reward: -93.544, Avg. Reward Last 100 Episodes: -47.412, Avg. Loss: 41.880, Time: 9.194, Training Steps: 21, Eps: 0.980
30-Dec-22 20:26:59 - TurtlebotAgent - INFO - Episode: 105, Total Reward: -231.839, Avg. Reward Last 100 Episodes: -49.219, Avg. Loss: 36.268, Time: 26.842, Training Steps: 64, Eps: 0.979
30-Dec-22 20:27:14 - TurtlebotAgent - INFO - Episode: 106, Total Reward: -34.586, Avg. Reward Last 100 Episodes: -50.509, Avg. Loss: 37.179, Time: 14.923, Training Steps: 34, Eps: 0.979
30-Dec-22 20:27:23 - TurtlebotAgent - INFO - Episode: 107, Total Reward: -170.063, Avg. Reward Last 100 Episodes: -50.138, Avg. Loss: 32.180, Time: 9.520, Training Steps: 22, Eps: 0.979
30-Dec-22 20:27:32 - TurtlebotAgent - INFO - Episode: 108, Total Reward: -148.191, Avg. Reward Last 100 Episodes: -50.629, Avg. Loss: 48.268, Time: 9.051, Training Steps: 22, Eps: 0.979
30-Dec-22 20:27:39 - TurtlebotAgent - INFO - Episode: 109, Total Reward: -181.550, Avg. Reward Last 100 Episodes: -53.443, Avg. Loss: 37.689, Time: 7.414, Training Steps: 17, Eps: 0.979
