04-Aug-19 02:55:36 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-08-04-02-55-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
04-Aug-19 02:55:36 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
04-Aug-19 03:02:08 - TorcsAgent - INFO - Episode: 48, Total Reward: 76.852, Avg. Reward Last 100 Episodes: 319.289, Avg. Actor Loss: -66.927 Avg. Critic Loss: 0.854 Avg. Q-Values: 33.552, Time: 6.977, Training Steps: 23, Eps: 0.990
04-Aug-19 03:02:15 - TorcsAgent - INFO - Episode: 49, Total Reward: 231.717, Avg. Reward Last 100 Episodes: 314.341, Avg. Actor Loss: -69.636 Avg. Critic Loss: 0.714 Avg. Q-Values: 34.592, Time: 6.757, Training Steps: 27, Eps: 0.990
04-Aug-19 03:02:22 - TorcsAgent - INFO - Episode: 50, Total Reward: 154.374, Avg. Reward Last 100 Episodes: 312.688, Avg. Actor Loss: -70.821 Avg. Critic Loss: 0.715 Avg. Q-Values: 35.922, Time: 7.126, Training Steps: 29, Eps: 0.990
04-Aug-19 03:02:30 - TorcsAgent - INFO - Episode: 51, Total Reward: -13.393, Avg. Reward Last 100 Episodes: 309.584, Avg. Actor Loss: -70.329 Avg. Critic Loss: 0.829 Avg. Q-Values: 34.786, Time: 7.390, Training Steps: 25, Eps: 0.989
04-Aug-19 03:02:39 - TorcsAgent - INFO - Episode: 52, Total Reward: 759.387, Avg. Reward Last 100 Episodes: 303.373, Avg. Actor Loss: -74.106 Avg. Critic Loss: 0.851 Avg. Q-Values: 37.026, Time: 9.752, Training Steps: 42, Eps: 0.989
04-Aug-19 03:02:46 - TorcsAgent - INFO - Episode: 53, Total Reward: 177.542, Avg. Reward Last 100 Episodes: 311.977, Avg. Actor Loss: -75.030 Avg. Critic Loss: 0.757 Avg. Q-Values: 39.533, Time: 6.950, Training Steps: 28, Eps: 0.989
04-Aug-19 03:02:56 - TorcsAgent - INFO - Episode: 54, Total Reward: 415.079, Avg. Reward Last 100 Episodes: 309.488, Avg. Actor Loss: -78.077 Avg. Critic Loss: 0.919 Avg. Q-Values: 39.619, Time: 10.016, Training Steps: 38, Eps: 0.989
04-Aug-19 03:03:03 - TorcsAgent - INFO - Episode: 55, Total Reward: 265.849, Avg. Reward Last 100 Episodes: 311.408, Avg. Actor Loss: -79.916 Avg. Critic Loss: 0.869 Avg. Q-Values: 40.653, Time: 6.934, Training Steps: 28, Eps: 0.988
04-Aug-19 03:03:10 - TorcsAgent - INFO - Episode: 56, Total Reward: -5.115, Avg. Reward Last 100 Episodes: 310.594, Avg. Actor Loss: -80.387 Avg. Critic Loss: 0.806 Avg. Q-Values: 43.008, Time: 6.518, Training Steps: 26, Eps: 0.988
04-Aug-19 03:03:17 - TorcsAgent - INFO - Episode: 57, Total Reward: 169.165, Avg. Reward Last 100 Episodes: 305.055, Avg. Actor Loss: -79.418 Avg. Critic Loss: 0.838 Avg. Q-Values: 42.047, Time: 7.375, Training Steps: 25, Eps: 0.988
04-Aug-19 03:03:27 - TorcsAgent - INFO - Episode: 58, Total Reward: 1007.282, Avg. Reward Last 100 Episodes: 302.712, Avg. Actor Loss: -82.328 Avg. Critic Loss: 0.849 Avg. Q-Values: 44.533, Time: 9.957, Training Steps: 43, Eps: 0.988
04-Aug-19 03:03:38 - TorcsAgent - INFO - Episode: 59, Total Reward: 1000.126, Avg. Reward Last 100 Episodes: 314.654, Avg. Actor Loss: -86.392 Avg. Critic Loss: 0.782 Avg. Q-Values: 47.862, Time: 10.550, Training Steps: 46, Eps: 0.987
04-Aug-19 03:03:45 - TorcsAgent - INFO - Episode: 60, Total Reward: 132.110, Avg. Reward Last 100 Episodes: 326.079, Avg. Actor Loss: -84.614 Avg. Critic Loss: 0.945 Avg. Q-Values: 48.530, Time: 7.376, Training Steps: 25, Eps: 0.987
