15-Jul-19 16:09:41 - PoleAgent - INFO - --- Start training ---
15-Jul-19 16:09:42 - PoleAgent - INFO - Target network is updated after 0 steps
15-Jul-19 16:11:58 - PoleAgent - INFO - Episode: 103, Total Reward: 22.000, Avg. Reward Last 100 Episodes: 25.810, Avg. Loss: 0.070, Time: 1.279, Training Steps: 22, Eps: 0.530
15-Jul-19 16:11:59 - PoleAgent - INFO - Episode: 104, Total Reward: 21.000, Avg. Reward Last 100 Episodes: 25.890, Avg. Loss: 0.048, Time: 1.271, Training Steps: 21, Eps: 0.525
15-Jul-19 16:12:01 - PoleAgent - INFO - Episode: 105, Total Reward: 74.000, Avg. Reward Last 100 Episodes: 25.700, Avg. Loss: 0.070, Time: 1.957, Training Steps: 74, Eps: 0.520
15-Jul-19 16:12:03 - PoleAgent - INFO - Episode: 106, Total Reward: 61.000, Avg. Reward Last 100 Episodes: 26.070, Avg. Loss: 0.054, Time: 1.778, Training Steps: 61, Eps: 0.515
15-Jul-19 16:12:05 - PoleAgent - INFO - Episode: 107, Total Reward: 109.000, Avg. Reward Last 100 Episodes: 26.580, Avg. Loss: 0.063, Time: 2.386, Training Steps: 109, Eps: 0.510
15-Jul-19 16:12:07 - PoleAgent - INFO - Target network is updated after 3000 steps
15-Jul-19 16:12:08 - PoleAgent - INFO - Episode: 108, Total Reward: 128.000, Avg. Reward Last 100 Episodes: 27.530, Avg. Loss: 0.063, Time: 2.662, Training Steps: 128, Eps: 0.505
15-Jul-19 16:12:10 - PoleAgent - INFO - Episode: 109, Total Reward: 97.000, Avg. Reward Last 100 Episodes: 28.710, Avg. Loss: 0.060, Time: 2.268, Training Steps: 97, Eps: 0.500
15-Jul-19 16:12:12 - PoleAgent - INFO - Episode: 110, Total Reward: 42.000, Avg. Reward Last 100 Episodes: 29.510, Avg. Loss: 0.064, Time: 1.543, Training Steps: 42, Eps: 0.495
15-Jul-19 16:12:14 - PoleAgent - INFO - Episode: 111, Total Reward: 75.000, Avg. Reward Last 100 Episodes: 29.740, Avg. Loss: 0.057, Time: 1.962, Training Steps: 75, Eps: 0.490
15-Jul-19 16:12:16 - PoleAgent - INFO - Episode: 112, Total Reward: 115.000, Avg. Reward Last 100 Episodes: 30.240, Avg. Loss: 0.061, Time: 2.512, Training Steps: 115, Eps: 0.485
15-Jul-19 16:12:18 - PoleAgent - INFO - Episode: 113, Total Reward: 97.000, Avg. Reward Last 100 Episodes: 31.250, Avg. Loss: 0.057, Time: 2.242, Training Steps: 97, Eps: 0.480
15-Jul-19 16:12:20 - PoleAgent - INFO - Episode: 114, Total Reward: 25.000, Avg. Reward Last 100 Episodes: 32.070, Avg. Loss: 0.046, Time: 1.321, Training Steps: 25, Eps: 0.475
15-Jul-19 16:12:21 - PoleAgent - INFO - Target network is updated after 3500 steps
15-Jul-19 16:12:21 - PoleAgent - INFO - Episode: 115, Total Reward: 53.000, Avg. Reward Last 100 Episodes: 32.190, Avg. Loss: 0.070, Time: 1.692, Training Steps: 53, Eps: 0.470
15-Jul-19 16:12:23 - PoleAgent - INFO - Episode: 116, Total Reward: 79.000, Avg. Reward Last 100 Episodes: 32.580, Avg. Loss: 0.064, Time: 2.027, Training Steps: 79, Eps: 0.465
15-Jul-19 16:12:25 - PoleAgent - INFO - Episode: 117, Total Reward: 43.000, Avg. Reward Last 100 Episodes: 33.160, Avg. Loss: 0.060, Time: 1.555, Training Steps: 43, Eps: 0.460
15-Jul-19 16:12:28 - PoleAgent - INFO - Episode: 118, Total Reward: 155.000, Avg. Reward Last 100 Episodes: 33.350, Avg. Loss: 0.057, Time: 2.964, Training Steps: 155, Eps: 0.455
15-Jul-19 16:12:31 - PoleAgent - INFO - Episode: 119, Total Reward: 128.000, Avg. Reward Last 100 Episodes: 34.590, Avg. Loss: 0.055, Time: 2.628, Training Steps: 128, Eps: 0.450
15-Jul-19 16:12:32 - PoleAgent - INFO - Target network is updated after 4000 steps
15-Jul-19 16:12:33 - PoleAgent - INFO - Episode: 120, Total Reward: 84.000, Avg. Reward Last 100 Episodes: 35.550, Avg. Loss: 0.066, Time: 2.098, Training Steps: 84, Eps: 0.445
15-Jul-19 16:12:35 - PoleAgent - INFO - Episode: 121, Total Reward: 74.000, Avg. Reward Last 100 Episodes: 36.050, Avg. Loss: 0.061, Time: 1.961, Training Steps: 74, Eps: 0.440
15-Jul-19 16:12:37 - PoleAgent - INFO - Episode: 122, Total Reward: 104.000, Avg. Reward Last 100 Episodes: 36.570, Avg. Loss: 0.068, Time: 2.333, Training Steps: 104, Eps: 0.435
15-Jul-19 16:12:40 - PoleAgent - INFO - Episode: 123, Total Reward: 171.000, Avg. Reward Last 100 Episodes: 37.470, Avg. Loss: 0.063, Time: 3.240, Training Steps: 171, Eps: 0.430
15-Jul-19 16:12:43 - PoleAgent - INFO - Target network is updated after 4500 steps
15-Jul-19 16:12:43 - PoleAgent - INFO - Episode: 124, Total Reward: 134.000, Avg. Reward Last 100 Episodes: 38.940, Avg. Loss: 0.066, Time: 2.738, Training Steps: 134, Eps: 0.425
15-Jul-19 16:12:45 - PoleAgent - INFO - Episode: 125, Total Reward: 103.000, Avg. Reward Last 100 Episodes: 40.170, Avg. Loss: 0.075, Time: 2.369, Training Steps: 103, Eps: 0.420
